"","SampleDate","StationCode","CHLa_C","CHLa_UnC","CHL","SALT","WTEM"
"1",2021-06-07 09:00:00,"GTMGR3NUT",7.8,8.5,2,34.22,27.5
"2",2021-06-07 09:20:00,"GTMGRNUT",8,8.9,2.04,34,27.7
"3",2021-06-07 09:40:00,"GTMGR1NUT",48.7,51.3,12.64,33.33,28.4
"4",2021-06-07 09:50:00,"GTMRNNUT",26.5,28.4,6.35,33.16,28.2
"5",2021-06-07 10:43:00,"GTMLSNUT",28,31,6.09,31.94,28.9
"6",2021-06-07 11:02:00,"GTMGL4NUT",36,39,7.58,31.42,28.6
"7",2021-06-07 11:25:00,"GTMLMNUT",81,88,14.57,27.92,28.6
"8",2021-06-07 11:45:00,"GTMGL2NUT",78,94,4.99,27.28,29.2
"9",2021-06-07 12:13:00,"GTMGL1NUT",209,239,37.56,15.36,34.6
"10",2021-06-07 14:45:00,"GTMMKNUT",8.3,10.1,4.12,0.64,28.9
"11",2021-07-21 09:55:00,"GTMLSNUT",15.6,17.4,4.5,24.74,29.2
"12",2021-07-21 10:13:00,"GTMGL4NUT",32.8,33.8,7.07,23.76,29.3
"13",2021-07-21 10:38:00,"GTMLMNUT",23,24,3.98,9.12,29.4
"14",2021-07-21 11:05:00,"GTMGL2NUT",55,59,9.64,1.5,29.2
"15",2021-07-21 11:30:00,"GTMGL1NUT",25.8,26.8,4.29,0.36,28.9
"16",2021-07-21 13:20:00,"GTMMKNUT",39.9,42,5.1,0.34,29
"17",2021-08-18 07:05:00,"GTMGR3NUT",5,5,2.09,20.25,28.5
"18",2021-08-18 07:24:00,"GTMGRNUT",5,5,2.09,18.91,28.9
"19",2021-08-18 07:43:00,"GTMGR1NUT",24,27,5.76,12.78,28.5
"20",2021-08-18 08:00:00,"GTMRNNUT",25,26,6.59,12.37,28.5
"21",2021-08-18 09:10:00,"GTMLSNUT",26.7,28.9,6.81,11.95,28.9
"22",2021-08-18 09:29:00,"GTMGL4NUT",26,30,7.8,7.32,28.4
"23",2021-08-18 10:00:00,"GTMLMNUT",44,54,12.23,1.21,28.6
"24",2021-08-18 10:45:00,"GTMGL2NUT",25.5,26.4,6.65,0.62,29.2
"25",2021-08-18 11:13:00,"GTMGL1NUT",20.4,22,5.45,0.27,29.2
"26",2021-08-18 13:04:00,"GTMMKNUT",20.9,24.7,5.06,0.26,29.4
"27",2021-09-07 10:51:00,"GTMGR3NUT",5.5,6,1.53,27.13,28.9
"28",2021-09-07 11:09:00,"GTMGRNUT",7.8,7.8,1.98,22.71,29.5
"29",2021-09-07 11:28:00,"GTMGR1NUT",32.6,33.9,4.18,20.41,29.2
"30",2021-09-07 11:42:00,"GTMRNNUT",36.7,39,9.28,19.78,29.2
"31",2021-09-07 12:25:00,"GTMLSNUT",18.6,19.3,4.54,12.04,30.4
"32",2021-09-07 12:42:00,"GTMGL4NUT",25,26,5.66,9.11,30.5
"33",2021-09-07 12:57:00,"GTMLMNUT",56,61,9.54,2.74,31.1
"34",2021-09-07 13:14:00,"GTMGL2NUT",73,79,8.86,1.11,31.5
"35",2021-10-06 11:03:00,"GTMRNNUT",5,7.6,2.19,22.31,27.3
"36",2021-10-06 11:50:00,"GTMLSNUT",3,7.9,4.65,21.01,27.7
"37",2021-11-03 08:55:00,"GTMGR3NUT",5.3,6,1.46,32.25,22.5
"38",2021-11-03 09:15:00,"GTMGRNUT",5.8,6.4,1.59,30.19,21.9
"39",2021-11-03 09:31:00,"GTMGR1NUT",6.7,7.7,1.71,23.72,20.7
"40",2021-11-03 09:45:00,"GTMRNNUT",1.25,1.25,1.45,25.08,21.3
"41",2021-11-03 10:38:00,"GTMLSNUT",10,12,2.67,19.75,20.8
"42",2021-11-03 11:00:00,"GTMGL4NUT",19,21,3.55,16.84,20.9
"43",2021-11-03 11:26:00,"GTMLMNUT",35,40,7.75,11.07,21.2
"44",2021-11-03 12:20:00,"GTMGL1NUT",17,21,5.44,0.35,21.7
"45",2021-11-03 13:40:00,"GTMMKNUT",15,20,5.02,0.35,22.1
"46",2021-12-01 08:55:00,"GTMLSNUT",9.6,11,3.38,18.15,14.2
"47",2022-01-13 07:27:00,"GTMGR3NUT",1.25,1.25,0.72,32.18,16.4
"48",2022-01-13 07:48:00,"GTMGRNUT",1.25,1.25,0.97,30.49,16.1
"49",2022-01-13 08:07:00,"GTMGR1NUT",1.25,1.25,1.16,27.88,16.3
"50",2022-01-13 08:21:00,"GTMRNNUT",3.2,3.1,1.33,26.78,15.9
"51",2022-01-13 09:22:00,"GTMLSNUT",1.25,1.25,1.53,22.37,15.5
"52",2022-01-13 09:38:00,"GTMGL4NUT",6.4,6.5,1.7,19.57,15.4
"53",2022-01-13 09:58:00,"GTMLMNUT",11,14,3.17,13.6,15.4
"54",2022-01-13 10:25:00,"GTMGL2NUT",13,14,6.58,7.62,15.7
"55",2022-01-13 13:10:00,"GTMMKNUT",1.25,1.25,4.29,0.42,17.4
"56",2022-02-14 08:23:00,"GTMGR3NUT",3.5,3.9,0.98,31.2,13.9
"57",2022-02-14 08:45:00,"GTMGRNUT",4,4.5,0.99,29.66,13.9
"58",2022-02-14 09:12:00,"GTMGR1NUT",4.5,5.1,1.44,26.4,13.3
"59",2022-02-14 09:30:00,"GTMRNNUT",3.2,5.1,1.08,26.81,14.5
"60",2022-02-14 10:35:00,"GTMLSNUT",5.6,7.8,1.45,20.41,12.5
"61",2022-02-14 10:55:00,"GTMGL4NUT",8.4,9.2,1.42,19.17,13.8
"62",2022-02-14 11:29:00,"GTMLMNUT",13,15,3.85,15,12.7
"63",2022-02-14 11:58:00,"GTMGL2NUT",39,44,6.7,7.7,13
"64",2022-02-14 13:38:00,"GTMMKNUT",21,28,5.66,0.38,14.2
"65",2022-03-01 08:18:00,"GTMGR3NUT",1.25,3.5,1.16,32.23,16.2
"66",2022-03-01 08:36:00,"GTMGRNUT",1.25,1.25,0.89,32.41,16.8
"67",2022-03-01 09:04:00,"GTMGR1NUT",1.25,1.25,1.09,30.74,17.8
"68",2022-03-01 09:16:00,"GTMRNNUT",1.25,1.25,0.96,29.96,17.7
"69",2022-03-01 10:05:00,"GTMLSNUT",3.2,3.1,1.38,29.55,17.5
"70",2022-03-01 10:22:00,"GTMGL4NUT",6.4,7.2,2.55,22.82,16.4
"71",2022-03-01 10:42:00,"GTMLMNUT",13,19,7.76,12.33,15.4
"72",2022-03-01 11:06:00,"GTMGL2NUT",21,28,9.17,9.74,15.4
"73",2022-03-01 11:30:00,"GTMGL1NUT",11,16,3.55,0.52,17.1
"74",2022-03-01 13:30:00,"GTMMKNUT",12,15,5.57,0.42,19.7
"75",2022-04-12 07:32:00,"GTMGR3NUT",4,5.5,2.69,25.88,20.3
"76",2022-04-12 08:03:00,"GTMGR1NUT",5.6,6.1,2.67,19.51,20.3
"77",2022-04-12 10:18:00,"GTMGL2.5NUT",10,12,4.02,7.66,20.1
"78",2022-04-12 10:34:00,"GTMGL2NUT",11,14,4.03,3.97,19.8
"79",2022-05-12 07:25:00,"GTMGR3NUT",5.9,6.8,1.17,35.06,23
"80",2022-05-12 07:50:00,"GTMGRNUT",5.3,6.2,1.26,34.55,23
"81",2022-05-12 09:40:00,"GTMLSNUT",5,6.7,2.07,26.53,22.2
"82",2022-05-12 10:21:59.995,"GTMGL3.5NUT",11,12,3.09,20.09,22.4
"83",2022-05-12 10:38:00,"GTMLMNUT",22,22,3.89,17.27,22.6
"84",2022-05-12 11:01:59.995,"GTMGL2.5NUT",20,32,4.59,15.52,22.5
"85",2022-05-12 11:23:00,"GTMGL2NUT",21,23,4.36,12.02,22.9
"86",2022-05-12 11:39:00,"GTMGL1.5NUT",7.2,11,3.98,8.92,23.2
"87",2022-06-10 07:40:00,"GTMGR1NUT",1.25,2.7,3.51,37.1,29.7
"88",2022-06-10 08:00:00,"GTMRNNUT",5.6,6.2,7.8,36.68,28.7
"89",2022-06-10 09:40:00,"GTMGL4NUT",8,8.9,11.59,31.86,30.1
"90",2022-06-10 09:56:00,"GTMGL3.5NUT",10,11,4.55,30.56,29.7
"91",2022-06-10 14:15:00,"GTMMKNUT",11,13,7.04,3.33,28.4
"92",2023-02-02 07:56:00,"GTMGRNUT",3,3,1.73,30.21,18.5
"93",2023-02-02 08:15:00,"GTMRNNUT",4.8,6.5,4.19,26.36,20.7
"94",2023-02-02 08:55:00,"GTMLSNUT",7.2,8.2,2.22,19.11,20.2
"95",2023-02-02 09:20:00,"GTMLMNUT",48,50,7.51,16.41,20.7
"96",2023-02-02 11:32:00,"GTMMKNUT",30,34,7.2,0.6,19.9
"97",2023-03-06 09:18:00,"GTMGRNUT",5,5.5,1.28,32.23,22.5
"98",2023-03-06 09:42:00,"GTMRNNUT",8,12,2.61,28.3,23.2
"99",2023-03-06 10:14:00,"GTMLSNUT",15,16,2.64,20.27,24
"100",2023-03-06 10:35:00,"GTMLMNUT",27,31,6.04,13.72,23.8
"101",2023-03-06 11:00:00,"GTMGL2NUT",27,31,17.72,7.45,23.9
"102",2023-03-06 13:06:00,"GTMMKNUT",24,25,11.34,0.46,24.4
"103",2023-04-03 08:42:00,"GTMGRNUT",7,7.4,1.44,30.07,22.6
"104",2023-04-03 09:10:00,"GTMRNNUT",14,15,4.53,24,23.9
"105",2023-04-03 10:00:00,"GTMLSNUT",17,19,7.6,19.01,23.8
"106",2023-04-03 10:22:00,"GTMLMNUT",37,37,10.84,14.06,24
"107",2023-04-03 10:41:00,"GTMGL2NUT",19,21,5.63,6.52,23.9
"108",2023-04-03 12:30:00,"GTMMKNUT",42,47,13.49,0.45,24.3
"109",2023-05-01 08:04:00,"GTMGRNUT",1.25,2.7,1.59,29.03,23
"110",2023-05-01 08:23:00,"GTMRNNUT",18,18,5.79,22.88,22
"111",2023-05-01 09:06:00,"GTMLSNUT",6.4,8.5,5.4,21.96,23.1
"112",2023-05-01 09:27:00,"GTMLMNUT",11,14,4.98,15.71,22.6
"113",2023-05-01 10:54:00,"GTMMKNUT",19,23,5.3,0.37,22.4
"114",2023-06-01 08:05:00,"GTMGRNUT",6,8.5,1.43,31.49,24.9
"115",2023-06-01 08:28:00,"GTMRNNUT",5.6,6.8,2.13,28.4,25.4
"116",2023-06-01 09:22:00,"GTMLSNUT",9.6,11,4.03,25.84,25.8
"117",2023-06-01 09:45:00,"GTMLMNUT",13,14,5.7,18.82,25.6
"118",2023-06-01 10:43:00,"GTMMKNUT",38,44,9.04,0.38,25.6
"119",2023-08-14 09:33:00,"GTMGRNUT",4,4.7,2.13,22.42,31.2
"120",2023-08-14 09:53:00,"GTMRNNUT",16,17,7.49,16.78,30.9
"121",2023-08-14 10:35:00,"GTMLSNUT",59,62,9.25,14.53,32.2
"122",2023-08-14 10:56:00,"GTMLMNUT",10,11,5.38,2.26,31.5
"123",2023-08-14 11:15:00,"GTMGL2NUT",12,18,6.63,1.38,31.7
"124",2023-08-14 12:53:00,"GTMMKNUT",47,53,8.76,0.35,32.2
"125",2023-09-11 08:25:00,"GTMGRNUT",7,6.8,1.09,32.4,28.1
"126",2023-09-11 08:46:00,"GTMRNNUT",16,20,3.49,26.02,28.6
"127",2023-09-11 09:19:00,"GTMLSNUT",12,13,3.13,23.79,28.4
"128",2023-09-11 09:43:00,"GTMLMNUT",21,24,7.76,12.15,28.8
"129",2023-09-11 10:03:00,"GTMGL2NUT",38,39,6.36,4.04,28.7
"130",2023-09-11 11:43:00,"GTMMKNUT",53,59,14.44,0.56,27.9
"131",2023-11-09 07:07:00,"GTMGRNUT",1.25,1.25,0.89,26.37,19.8
"132",2023-11-09 07:33:00,"GTMRNNUT",10,12,4.37,19.12,19.9
"133",2023-11-09 08:33:00,"GTMLSNUT",15,15,3.61,18.4,19.9
"134",2023-11-09 08:55:00,"GTMLMNUT",21,25,7.07,12.87,20.4
"135",2023-11-09 10:42:00,"GTMMKNUT",41,43,8.23,0.42,19.3
"136",2023-12-11 09:00:00,"GTMGRNUT",4,3.8,0.92,26.54,17.3
"137",2023-12-11 09:18:00,"GTMRNNUT",5.6,7.4,1.54,21.89,17.8
"138",2023-12-11 09:55:00,"GTMLSNUT",13,14,2.5,15.48,14.9
"139",2023-12-11 10:25:00,"GTMLMNUT",16,17,3.1,11.84,16.1
"140",2023-12-11 11:26:00,"GTMGL2NUT",63,68,6.56,1.53,16.7
"141",2023-12-11 13:42:00,"GTMMKNUT",23,27,5.8,0.36,17.3
"142",2024-01-11 09:45:00,"GTMGRNUT",1.25,1.25,0.96,23.37,14.4
"143",2024-01-11 10:10:00,"GTMRNNUT",8.8,9.5,2.76,14.97,13.1
"144",2024-01-11 10:53:00,"GTMLSNUT",19,19,2.6,11.62,12.9
"145",2024-01-11 11:33:00,"GTMLMNUT",30,30,5.1,7,13.4
"146",2024-01-11 11:55:00,"GTMGL2NUT",41,46,8.41,2.37,12.8
"147",2024-01-11 13:36:00,"GTMMKNUT",20,21,4.2,0.33,13.5
"148",2024-02-07 08:35:00,"GTMGRNUT",4,4.6,1.18,27.5,13.2
"149",2024-02-07 09:00:00,"GTMRNNUT",3.2,3.8,0.85,24.42,12.7
"150",2024-02-07 10:07:00,"GTMLSNUT",18,19,2.63,15.2,12.1
"151",2024-02-07 10:38:00,"GTMLMNUT",42,42,7.53,7.93,11.3
"152",2024-02-07 10:55:00,"GTMGL2NUT",66,66,8.95,4.69,10.7
"153",2024-02-07 13:32:00,"GTMMKNUT",19,22,5.19,0.38,12.7
"154",2024-03-08 08:02:00,"GTMGRNUT",8,8.4,2.07,25.65,19.5
"155",2024-03-08 08:26:00,"GTMRNNUT",9.6,9.8,2.71,19.66,20.9
"156",2024-03-08 09:24:00,"GTMLSNUT",14,15,3.53,18.55,21.3
"157",2024-03-08 09:47:00,"GTMLMNUT",57,59,16.89,4.19,20.6
"158",2024-03-08 12:30:00,"GTMMKNUT",62,66,15.9,0.38,22.3
"159",2024-04-08 10:00:00,"GTMGRNUT",6,6.6,1.66,29.48,19.6
"160",2024-04-08 10:20:00,"GTMRNNUT",14,14,3.14,20.29,19.9
"161",2024-04-08 11:07:00,"GTMLSNUT",21,21,4.35,21.09,20.5
"162",2024-04-08 11:30:00,"GTMLMNUT",67,71,19.09,4.05,20.4
"163",2024-04-08 11:50:00,"GTMGL2NUT",38,41,5.97,0.87,20.7
"164",2024-04-08 13:35:00,"GTMMKNUT",27,30,11.35,0.37,22.2
"165",2024-05-06 09:00:00,"GTMGRNUT",4,3.1,2.14,35.27,25.7
"166",2024-05-06 09:23:00,"GTMRNNUT",11,13,6.15,33.25,26
"167",2024-05-06 10:12:00,"GTMLSNUT",23,24,6,33.2,27
"168",2024-05-06 10:36:00,"GTMLMNUT",18,22,15.49,22.76,26.5
"169",2024-05-06 10:53:00,"GTMGL2NUT",20,21,9.91,15.04,26.6
"170",2024-05-06 13:34:00,"GTMMKNUT",28,31,15.51,0.48,28.8
"171",2024-06-03 07:34:00,"GTMGRNUT",3,5.5,1.57,37.2,26.1
"172",2024-06-03 07:53:00,"GTMRNNUT",8,10,3.42,36.6,24.5
"173",2024-06-03 08:52:00,"GTMLSNUT",7.2,8.9,2.65,35.65,25.3
"174",2024-06-03 09:20:00,"GTMLMNUT",9.6,11,4.13,29.36,24.7
"175",2024-06-03 11:50:00,"GTMMKNUT",29,35,8.83,0.4,25.7
"176",2024-07-17 07:06:00,"GTMGRNUT",7,9.8,2.65,36.56,29.9
"177",2024-07-17 07:24:00,"GTMRNNUT",15,18,8.91,37.22,29.4
"178",2024-07-17 08:37:00,"GTMLSNUT",15,18,7.4,38.86,30.3
"179",2024-07-17 09:05:00,"GTMLMNUT",4,5.1,4.57,37.12,29.8
"180",2024-07-17 09:23:00,"GTMGL2NUT",58,73,6.93,28.54,29.1
"181",2024-07-17 11:30:00,"GTMMKNUT",200,220,56.1,6.1,28.7
"182",2024-08-01 07:50:00,"GTMGRNUT",6,6.8,2.65,35.44,29.6
"183",2024-08-01 08:20:00,"GTMRNNUT",8,9.6,4.45,36.5,30.2
"184",2024-08-01 09:18:00,"GTMLSNUT",18,19,9.81,38.94,31.2
"185",2024-08-01 09:50:00,"GTMLMNUT",13,14,3.89,37.1,30.5
"186",2024-08-01 10:09:00,"GTMGL2NUT",42,47,16.51,25.84,30.2
"187",2024-08-01 12:21:00,"GTMMKNUT",32,36,9.74,0.63,31.2
"188",2024-09-16 08:40:00,"GTMGRNUT",5,3.9,2.57,16.01,26.5
"189",2024-09-16 09:05:00,"GTMRNNUT",14,15,4.07,14.99,26.5
"190",2024-09-16 10:32:00,"GTMLSNUT",17,19,4.45,15.39,26.6
"191",2024-09-16 11:09:00,"GTMLMNUT",33,59,14,8.34,25.8
"192",2024-09-16 11:33:00,"GTMGL2NUT",20,25,10.55,0.83,25.6
"193",2024-09-16 13:24:00,"GTMMKNUT",22,29,5.61,0.34,26.4
"194",2024-10-02 09:59:00,"GTMGRNUT",4,4.8,2.04,22.73,28.1
"195",2024-10-02 10:24:00,"GTMRNNUT",4,4.8,4.66,18.7,28.4
"196",2024-10-02 10:48:00,"GTMLSNUT",11,12,5.47,16.89,28.4
"197",2024-10-02 11:15:00,"GTMLMNUT",16,23,10.71,5.08,28.4
"198",2024-10-02 11:31:00,"GTMGL2NUT",20,26,9.44,2.88,28.6
"199",2024-10-02 12:57:00,"GTMMKNUT",18,20,7.95,0.53,28.8
"200",2024-11-14 08:23:00,"GTMGRNUT",1.25,1.25,1.23,28.61,23.5
"201",2024-11-14 08:49:00,"GTMRNNUT",1.25,1.25,1.75,22.54,22.8
"202",2024-11-14 09:18:00,"GTMLSNUT",1.25,3.2,2.65,21.11,22.7
"203",2024-11-14 09:57:00,"GTMLMNUT",9.2,12,3.45,11.6,22
"204",2024-11-14 10:22:00,"GTMGL2NUT",27,30,14.1,6.78,21.6
"205",2024-11-14 12:50:00,"GTMMKNUT",23,26,11.55,1.43,22.9
"206",2024-12-02 10:05:00,"GTMGRNUT",3,3.6,1.43,27.74,16
"207",2024-12-02 10:36:00,"GTMRNNUT",4.8,5.5,1.64,22.42,14.1
"208",2024-12-02 10:58:00,"GTMLSNUT",4.8,6.6,1.87,16.47,12.7
"209",2024-12-02 13:01:00,"GTMMKNUT",8.8,11,3.61,0.78,13.5
